number,name,genre
1,Black Panther (2018),"fantasy, action, adventure"
2,Avengers: Endgame (2019),"fantasy, adventure, sci fi, action"
3,Us (2019),"horror, mystery , thriller"
4,Toy Story 4 (2019),"fantasy, kids , family, animation, adventure, comedy"
5,Lady Bird (2017),"drama, comedy"
6,Citizen Kane (1941),drama
7,Mission: Impossible - Fallout (2018),"adventure, mystery , thriller, action"
8,The Wizard of Oz (1939),"musical, kids , family, fantasy"
9,BlacKkKlansman (2018),"drama, comedy, crime"
10,Get Out (2017),"horror, mystery , thriller, comedy"
11,The Irishman (2019),"drama, crime"
12,Mad Max: Fury Road (2015),"adventure, action"
13,Spider-Man: Into the Spider-Verse (2018),"fantasy, comedy, kids , family, animation, adventure, action"
14,Casablanca (1942),drama
15,Moonlight (2016),drama
16,A Star Is Born (2018),"drama, music, romance"
17,Wonder Woman (2017),"adventure, action, fantasy"
18,Dunkirk (2017),"drama, war, history"
19,Inside Out (2015),"comedy, fantasy, kids , family, animation"
20,The Farewell (2019),"drama, comedy"
21,A Quiet Place (2018),"horror, mystery , thriller"
22,Modern Times (1936),comedy
23,Eighth Grade (2018),"drama, comedy"
24,It Happened One Night (1934),romance
25,Booksmart (2019),comedy
26,A Night at the Opera (1935),comedy
27,Roma (2018),drama
28,The Third Man (1949),"mystery , thriller"
29,Coco (2017),"music, kids , family, animation, adventure, comedy"
30,Thor: Ragnarok (2017),"fantasy, comedy, sci fi, adventure, action"
31,The Shape of Water (2017),"fantasy, romance"
32,Spotlight (2015),drama
33,Selma (2014),"drama, history"
34,The Godfather (1972),"drama, crime"
35,La Grande illusion (Grand Illusion) (1938),"drama, war"
36,Arrival (2016),"drama, sci fi, mystery , thriller"
37,Singin' in the Rain (1952),"comedy, musical"
38,Snow White and the Seven Dwarfs (1937),"fantasy, animation, kids , family"
39,Logan (2017),"fantasy, adventure, action"
40,The Cabinet of Dr Caligari (Das Cabinet des Dr Caligari) (1920),horror
41,Double Indemnity (1944),"drama, crime"
42,The Favourite (2018),"drama, comedy"
43,The Big Sick (2017),romance
44,Spider-Man: Far From Home (2019),"fantasy, adventure, action, comedy"
45,ET The Extra-Terrestrial (1982),"adventure, sci fi, kids , family"
46,Star Wars: The Last Jedi (2017),"fantasy, adventure, sci fi, action"
47,All About Eve (1950),drama
48,Shadow of a Doubt (1943),"drama, mystery , thriller, crime"
49,The Kid (1921),"drama, comedy"
50,Paddington 2 (2018),"adventure, kids , family, comedy"
