number,name,genre
1,The Shawshank Redemption, Drama
2,The Godfather," Crime, Drama"
3,The Godfather: Part II," Crime, Drama"
4,The Dark Knight," Action, Crime, Drama, Thriller"
5,12 Angry Men," Crime, Drama"
6,Schindler's List," Biography, Drama, History"
7,The Lord of the Rings: The Return of the King," Action, Adventure, Drama, Fantasy"
8,Pulp Fiction," Crime, Drama"
9,"The Good, the Bad and the Ugly", Western
10, The Lord of the Rings: The Fellowship of the Ring," Action, Adventure, Drama, Fantasy"
11,Fight Club, Drama
12,Forrest Gump," Drama, Romance"
13,Inception," Action, Adventure, Sci-Fi, Thriller"
14,The Lord of the Rings: The Two Towers," Action, Adventure, Drama, Fantasy"
15,Star Wars: Episode V - The Empire Strikes Back," Action, Adventure, Fantasy, Sci-Fi"
16,The Matrix," Action, Sci-Fi"
17,Goodfellas," Biography, Crime, Drama"
18,One Flew Over the Cuckoo's Nest, Drama
19,Seven Samurai," Action, Adventure, Drama"
20,Se7en," Crime, Drama, Mystery, Thriller"
21,Life Is Beautiful," Comedy, Drama, Romance, War"
22,City of God," Crime, Drama"
23,The Silence of the Lambs," Crime, Drama, Thriller"
24,It's a Wonderful Life," Drama, Family, Fantasy"
25,Star Wars: Episode IV - A New Hope," Action, Adventure, Fantasy, Sci-Fi"
26,Saving Private Ryan," Drama, War"
27,Spirited Away," Animation, Adventure, Family, Fantasy, Mystery"
28,The Green Mile," Crime, Drama, Fantasy, Mystery"
29,Interstellar," Adventure, Drama, Sci-Fi"
30,Parasite," Comedy, Drama, Thriller"
31,Léon: The Professional," Action, Crime, Drama, Thriller"
32,The Usual Suspects," Crime, Mystery, Thriller"
33,Hara-Kiri," Action, Drama, Mystery"
34,The Lion King," Animation, Adventure, Drama, Family, Musical"
35,The Pianist," Biography, Drama, Music, War"
36,Back to the Future," Adventure, Comedy, Sci-Fi"
37,Terminator 2: Judgment Day," Action, Sci-Fi"
38,American History X, Drama
39,Modern Times," Comedy, Drama, Family, Romance"
40,Psycho," Horror, Mystery, Thriller"
41,Gladiator," Action, Adventure, Drama"
42,City Lights," Comedy, Drama, Romance"
43,The Departed," Crime, Drama, Thriller"
44,The Intouchables," Biography, Comedy, Drama"
45,Whiplash," Drama, Music"
46,The Prestige," Drama, Mystery, Sci-Fi, Thriller"
47,Grave of the Fireflies," Animation, Drama, War"
48,Once Upon a Time in the West, Western
49,Hamilton," Biography, Drama, History, Musical"
50,Casablanca," Drama, Romance, War"
